	gbifID	countryCode	stateProvince	eventDate	day	month	year	species	presence	Current.Mean.Diurnal.Range..Bio.2.	Current.Max..Temp..of.Warmest.Month..Bio.5.	Current.Driest.Month.Precipitation.Data..Bio.14.	Future.Mean.Diurnal.Range..Bio.2.	Future.Max..Temp..of.Warmest.Month..Bio.5.	Future.Driest.Month.Precipitation.Data..Bio.14.	blockCV_tile
1	4607297372	US	Utah	2017-05-31T14:21	31	5	2017	Aquilegia_formosa	1	1.527573204	3.170090866	13.21754169	1.517370701	3.514669037	12.91569328	2
2	4400004785	US	Wyoming	2023-07-28T16:16	28	7	2023	Aquilegia_formosa	1	1.504346943	2.423257256	32.17995071	1.478053093	2.822637367	35.74916458	2
3	2294666109	US	Wyoming	2019-07-20T16:24:16	20	7	2019	Aquilegia_formosa	1	1.467075539	2.210167313	38.50372314	1.440081501	2.604020119	42.62195206	2
4	3008528462	US	Idaho	2020-07-20T15:24:58	20	7	2020	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
5	4137706620	US	Idaho	2022-06-29T10:56:23	29	6	2022	Aquilegia_formosa	1	1.446099377	2.272672653	37.49461746	1.417943096	2.658476448	39.43405914	2
6	4153439244	US	Idaho	2023-07-04T14:52:18	4	7	2023	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
7	3314363357	US	Idaho	2020-07-04T16:42:39	4	7	2020	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
8	3314225375	US	Idaho	7/3/2020	3	7	2020	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
9	4903947389	US	Idaho	2024-06-26T12:28:03	26	6	2024	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
10	4138467472	US	Idaho	2023-06-26T19:01:11	26	6	2023	Aquilegia_formosa	1	1.527539444	2.570548058	32.82064056	1.498586655	2.95045681	35.63435745	2
11	3872982482	US	Utah	2021-07-20T16:13:35	20	7	2021	Aquilegia_formosa	1	1.603195953	3.163313103	22.0946064	1.588258934	3.541234589	21.10165405	5
12	4153937871	US	Utah	2023-07-09T20:12:16	9	7	2023	Aquilegia_formosa	1	1.516798687	3.172709274	21.49596214	1.496118164	3.554960632	21.32085037	5
13	3314242382	US	Utah	2020-10-02T10:52	2	10	2020	Aquilegia_formosa	1	1.603195953	3.163313103	22.0946064	1.588258934	3.541234589	21.10165405	5
14	4029277426	US	Utah	2021-06-12T17:40	12	6	2021	Aquilegia_formosa	1	1.603195953	3.163313103	22.0946064	1.588258934	3.541234589	21.10165405	5
15	4908997007	US	Montana	2024-07-09T11:09:33	9	7	2024	Aquilegia_formosa	1	1.538995743	2.671349335	19.17810822	1.509442616	3.057018661	20.88811684	2
16	4597334154	US	Idaho	7/3/2020	3	7	2020	Aquilegia_formosa	1	1.538995743	2.671349335	19.17810822	1.509442616	3.057018661	20.88811684	2
17	3314308356	US	Idaho	7/29/2011	29	7	2011	Aquilegia_formosa	1	1.592289734	2.901369286	19.87028503	1.561842537	3.298894501	21.50876427	2
18	5007883696	US	Montana	2024-07-28T08:55	28	7	2024	Aquilegia_formosa	1	1.538995743	2.671349335	19.17810822	1.509442616	3.057018661	20.88811684	2
19	4431002086	US	Arizona	2023-10-03T10:33:37	3	10	2023	Aquilegia_formosa	1	1.530339146	3.123262787	9.175301552	1.543036652	3.470751572	9.132962227	2
20	3873458427	US	Idaho	2020-07-12T11:45:29	12	7	2020	Aquilegia_formosa	1	1.505353928	2.925637436	26.67346382	1.477597332	3.325992584	29.33464432	5
21	1291097476	US	Idaho	6/15/2016	15	6	2016	Aquilegia_formosa	1	1.505353928	2.925637436	26.67346382	1.477597332	3.325992584	29.33464432	5
22	3859175310	US	Idaho	2022-06-27T17:58:01	27	6	2022	Aquilegia_formosa	1	1.497890091	2.949531937	26.12490654	1.46899929	3.340209579	28.9247303	5
23	4936455585	US	Idaho	2024-06-21T17:14	21	6	2024	Aquilegia_formosa	1	1.508880711	2.667768288	15.12127399	1.477170277	3.064655876	15.78406048	2
24	1880630494	US	Utah	2018-06-30T13:20:16	30	6	2018	Aquilegia_formosa	1	1.636241722	3.300694275	19.64505959	1.624355888	3.685511398	18.739851	5
25	1978842010	US	Utah	2005-06-29T05:13	29	6	2005	Aquilegia_formosa	1	1.641373062	2.959111404	13.13589096	1.655059814	3.317627335	12.89439201	2
26	3873458407	US	Utah	2021-06-18T16:55:42	18	6	2021	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
27	3330901358	US	Utah	2021-07-20T15:12	20	7	2021	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
28	3873026452	US	Utah	2021-06-19T18:26:28	19	6	2021	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
29	3416183349	US	Utah	2020-07-16T11:53	16	7	2020	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
30	3759112470	US	Utah	2020-08-02T13:38:16	2	8	2020	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
31	3455268615	US	Utah	2019-09-02T10:23:15	2	9	2019	Aquilegia_formosa	1	1.534891891	3.170237923	22.80007362	1.517124844	3.561285019	22.35401917	5
32	3912089556	US	Utah	2022-08-25T10:15:51	25	8	2022	Aquilegia_formosa	1	1.571976852	3.427855301	15.12399292	1.561657333	3.815338516	15.06842327	4
33	3415811711	US	Utah	2021-06-15T16:07:46	15	6	2021	Aquilegia_formosa	1	1.741117096	3.187047577	14.6419096	1.747138023	3.555024719	13.9311533	8
34	4994192894	US	Utah	2024-07-27T17:05	27	7	2024	Aquilegia_formosa	1	1.741117096	3.187047577	14.6419096	1.747138023	3.555024719	13.9311533	8
35	4138035135	US	Utah	2023-06-16T12:54:01	16	6	2023	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
36	1677318118	US	Idaho	2017-08-20T11:13:23	20	8	2017	Aquilegia_formosa	1	1.36919117	2.323615837	18.8058815	1.341294289	2.728227043	19.33288193	3
37	4921809970	US	Idaho	2024-07-29T11:46	29	7	2024	Aquilegia_formosa	1	1.36919117	2.323615837	18.8058815	1.341294289	2.728227043	19.33288193	3
38	3333476327	US	Idaho	2021-07-20T06:46	20	7	2021	Aquilegia_formosa	1	1.36919117	2.323615837	18.8058815	1.341294289	2.728227043	19.33288193	3
39	1323026457	US	Utah	2016-10-02T12:24:31	2	10	2016	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
40	3067607347	US	Utah	2017-05-10T12:13	10	5	2017	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
41	3912039866	US	Utah	2022-06-13T14:05:17	13	6	2022	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
42	2813912389	US	Utah	2019-07-10T12:32:18	10	7	2019	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
43	1024206362	US	Utah	2014-08-08T14:42:50	8	8	2014	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
44	1891329635	US	Utah	2018-08-06T10:01	6	8	2018	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
45	2813893446	US	Utah	2015-07-10T15:00	10	7	2015	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
46	3327761838	US	Utah	2021-07-06T11:18	6	7	2021	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
47	3327778800	US	Utah	2021-07-06T11:18	6	7	2021	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
48	3328034567	US	Utah	2021-05-20T17:19	20	5	2021	Aquilegia_formosa	1	1.553306007	2.992280006	13.17436028	1.566437626	3.348065567	12.91678429	8
